# Format of source catalog file:
#
# space delimited
#
# col1: ID number
# col2: redshift, z
# col3: r_eff [in arcsec]
# col4: sigma_e [per component, Bernstein & Jarvis 2002 ellipticity convention]
#
   1264 0.2530 0.1430 0.17764
   1265 0.2670 0.1570 0.04499
   1537 0.3000 0.1350 0.06448
   1561 0.3730 0.4450 0.02044
   1568 0.3990 0.2510 0.00318
   1585 0.2060 0.3950 0.00189
   1723 0.3920 0.3710 0.10957
   1725 0.2000 0.8460 0.00144
   1769 0.3760 0.1880 0.14581
   1779 0.2830 0.1770 0.01455
   1873 0.2650 0.1690 0.17876
   1890 0.2560 0.4860 0.01969
   1925 0.2030 1.4450 0.00861
   1980 0.2030 0.1470 0.14824
   2017 0.3600 0.1080 0.18894
   2038 0.2850 0.1750 0.01786
   2073 0.2020 0.7170 0.00837
   2173 0.2850 0.4800 0.04811
   2226 0.2990 0.3040 0.05371
   2319 0.2790 0.5060 0.00894
   2343 0.2430 0.2310 0.08898
   2360 0.2800 0.1470 0.18827
   2376 0.2040 0.2950 0.05915
   2388 0.3400 0.2680 0.10131
   2446 0.3670 0.2120 0.18247
   2517 0.2010 0.2640 0.14679
   2544 0.3790 0.2430 0.07233
   2610 0.3190 0.2240 0.03680
   2631 0.2070 0.2250 0.10312
   2645 0.3370 0.3550 0.02553
   2673 0.2490 0.3260 0.02188
   2700 0.2560 0.3000 0.13251
   2711 0.3740 0.1130 0.05092
   2798 0.3700 0.2890 0.00656
   2812 0.2940 0.2890 0.08053
   2848 0.2450 0.2610 0.11879
   2945 0.3320 0.1330 0.11559
   3297 0.3210 0.2390 0.18425
   3392 0.2180 0.3790 0.10615
   3449 0.2170 0.2170 0.06604
   3532 0.3680 0.2830 0.07216
   3589 0.3660 0.3440 0.00356
   3616 0.2680 0.4210 0.00310
   3637 0.2740 0.1760 0.14100
   3642 0.3530 0.5050 0.14883
   3761 0.3620 0.1820 0.07678
   3766 0.3060 0.1450 0.07086
   3798 0.2220 0.4860 0.02058
   3872 0.3730 0.2440 0.05308
   3998 0.3390 0.2170 0.10876
   4023 0.3410 0.6480 0.00287
   4048 0.2750 0.6520 0.01300
   4069 0.3890 0.9850 0.00460
   4221 0.3360 0.2160 0.00380
   4250 0.2760 0.5420 0.02020
   4294 0.2150 0.2500 0.10475
   4310 0.3730 0.2310 0.08650
   4336 0.2890 0.1920 0.19219
   4363 0.3710 0.1350 0.04678
   4381 0.2830 0.6440 0.00568
   4395 0.3310 0.5130 0.00457
   4487 0.3610 0.2120 0.02421
   4509 0.3760 0.2550 0.12143
   4537 0.2810 0.3970 0.03313
   4571 0.3600 0.4610 0.01182
   4573 0.2840 0.3690 0.01394
   4791 0.3580 0.1430 0.04980
   4930 0.3710 0.4690 0.00736
   4966 0.3820 0.1720 0.12476
   5032 0.2540 0.1570 0.06300
   5110 0.3630 0.3760 0.00431
   5128 0.2210 0.1610 0.14220
   5258 0.3430 0.1270 0.03097
   5264 0.2460 0.4670 0.13105
   5320 0.3540 0.6170 0.03548
   5371 0.3180 0.2610 0.07248
   5372 0.3980 0.2620 0.12128
   5446 0.2820 0.4830 0.00836
   5480 0.2340 0.2770 0.09267
   5753 0.2770 0.2310 0.02855
   5802 0.3530 0.3540 0.05249
